dataset,ml1m
gpu,0
k,10
num_epochs,2000
print_freq,50
train_dir,default

There are 6040 users 3416 items 

Average sequence length: 163.49850993377484

Maximum length of sequence: 2275

--- Starting trial: run-0
{'learning rate': 0.0005, 'max len': 50, 'batch size': 128, 'user hidden units': 50, 'item hidden units': 100, 'num blocks': 2, 'num heads': 1, 'dropout rate': 0.2, 'sse prob user': 0.08, 'sse prob item': 0.08, 'l2 emb': 0.0}
[0, 0.0, 0.04894, 0.10530, 0.04264, 0.09404],
[50, 41.17, 0.23013, 0.41705, 0.22853, 0.41126],
[100, 158.90, 0.23316, 0.42152, 0.23454, 0.42533],
[150, 352.85, 0.23953, 0.43245, 0.23949, 0.43394],
[200, 623.84, 0.24539, 0.43974, 0.24463, 0.44288],
[250, 971.31, 0.24658, 0.44321, 0.24808, 0.44801],
[300, 1395.30, 0.25129, 0.44421, 0.25057, 0.44586],
[350, 1895.20, 0.25649, 0.45166, 0.26364, 0.45977],
[400, 2471.49, 0.26162, 0.45397, 0.26633, 0.46258],
[450, 3125.40, 0.26837, 0.46738, 0.27121, 0.47169],
[500, 3855.56, 0.26528, 0.46126, 0.27126, 0.47268],
[550, 4661.39, 0.27309, 0.47086, 0.27041, 0.46887],
[600, 5543.46, 0.26796, 0.46921, 0.26762, 0.46970],
[650, 6502.31, 0.26948, 0.46705, 0.27474, 0.47334],
[700, 7537.29, 0.27159, 0.46987, 0.27362, 0.47401],
[750, 8647.78, 0.27570, 0.47616, 0.27204, 0.47268],
[800, 9833.88, 0.27882, 0.47781, 0.27839, 0.47517],
[850, 11095.59, 0.27913, 0.47897, 0.27876, 0.47980],
[900, 12433.68, 0.27998, 0.48576, 0.28044, 0.47748],
[950, 13848.16, 0.27233, 0.46887, 0.26897, 0.46159],
[1000, 15338.59, 0.27692, 0.47566, 0.27413, 0.47185],
[1050, 16904.40, 0.27629, 0.47351, 0.27832, 0.47500],
[1100, 18546.06, 0.27794, 0.47815, 0.27772, 0.47583],
[1150, 20263.36, 0.28130, 0.47964, 0.27440, 0.47119],
[1200, 22056.86, 0.28432, 0.48427, 0.27867, 0.47351],
[1250, 23925.62, 0.28291, 0.48510, 0.27891, 0.47715],
[1300, 25870.65, 0.28050, 0.47765, 0.28269, 0.47401],
[1350, 27891.98, 0.27962, 0.47980, 0.28013, 0.47185],
[1400, 29989.46, 0.28050, 0.47947, 0.28157, 0.47467],
[1450, 32162.90, 0.28380, 0.48626, 0.27867, 0.47930],
[1500, 34413.11, 0.27749, 0.47583, 0.27144, 0.47103],
[1550, 36739.45, 0.28123, 0.48228, 0.27609, 0.47020],
[1600, 39141.46, 0.27948, 0.47583, 0.27278, 0.47119],
[1650, 41619.59, 0.27891, 0.48212, 0.27639, 0.47219],
[1700, 44174.12, 0.27717, 0.47334, 0.27567, 0.47003],
[1750, 46805.26, 0.27904, 0.47997, 0.27669, 0.47119],
[1800, 49512.07, 0.27811, 0.47864, 0.27190, 0.46805],
[1850, 52295.85, 0.28190, 0.48560, 0.27752, 0.47285],
[1900, 55156.03, 0.28134, 0.48377, 0.28019, 0.47715],
[1950, 58091.97, 0.28032, 0.47765, 0.28063, 0.47632],
[2000, 61104.64, 0.28314, 0.48560, 0.27976, 0.47765],
--- Starting trial: run-1
{'learning rate': 0.0005, 'max len': 50, 'batch size': 128, 'user hidden units': 50, 'item hidden units': 100, 'num blocks': 2, 'num heads': 1, 'dropout rate': 0.2, 'sse prob user': 0.08, 'sse prob item': 0.9, 'l2 emb': 0.0}
[0, 0.0, 0.04431, 0.09901, 0.04884, 0.10646],
[50, 26.92, 0.56754, 0.80497, 0.53304, 0.77930],
[100, 116.58, 0.60075, 0.82732, 0.56812, 0.79619],
[150, 268.40, 0.61121, 0.83030, 0.57853, 0.80050],
